index,year,certificate,length,category,rating,metascore,total_votes,US_box_office,index,first_genre,second_genre,third_genre
249,2005.0,PG,95.0,Comedy,5.6,30.0,88209.0,113086868.0,205,Action,Comedy,Drama
250,2001.0,PG,87.0,Comedy,4.7,49.0,41869.0,112952899.0,206,Comedy,Family,Fantasy
251,2009.0,R,121.0,Comedy,6.5,57.0,86541.0,112735375.0,207,Comedy,Drama,Romance
252,2001.0,PG,88.0,Comedy,5.5,71.0,108966.0,112719001.0,208,Action,Adventure,Comedy
253,1989.0,V,108.0,Comedy,6.6,56.0,183698.0,112494738.0,209,Action,Comedy,Fantasy
254,2013.0,N-16,100.0,Comedy,5.8,30.0,293977.0,112200072.0,210,Comedy,Crime,
256,2003.0,PG,84.0,Comedy,4.3,57.0,55342.0,111761982.0,211,Action,Adventure,Comedy
257,2014.0,V,92.0,Comedy,6.8,59.0,62737.0,111506430.0,212,Animation,Adventure,Comedy
259,2015.0,N-16,120.0,Comedy,7.0,75.0,230317.0,110825712.0,213,Action,Comedy,
260,2008.0,R,107.0,Comedy,7.0,71.0,378359.0,110515313.0,214,Action,Comedy,War
262,2005.0,PG-13,90.0,Comedy,6.2,47.0,135573.0,110332737.0,215,Comedy,Crime,
263,2003.0,PG,97.0,Comedy,6.2,70.0,125711.0,110230332.0,216,Comedy,Family,Fantasy
264,2015.0,N-16,125.0,Comedy,6.2,75.0,129607.0,110212700.0,217,Comedy,Drama,Romance
265,2008.0,V,99.0,Comedy,6.0,33.0,88448.0,110101975.0,218,Adventure,Comedy,Family
266,2003.0,PG-13,84.0,Comedy,5.5,49.0,137774.0,110003217.0,219,Comedy,Horror,
267,1986.0,PG,119.0,Comedy,7.3,71.0,79143.0,109713132.0,220,Action,Adventure,Comedy
268,2005.0,R,116.0,Comedy,7.1,73.0,396569.0,109449237.0,221,Comedy,Romance,
270,2009.0,PG-13,113.0,Comedy,5.5,23.0,101854.0,109205660.0,222,Comedy,,
272,1995.0,PG-13,90.0,Comedy,6.4,45.0,202837.0,108385533.0,223,Adventure,Comedy,Crime
273,2017.0,N-13,126.0,Comedy,7.0,46.0,46227.0,108252517.0,224,Comedy,Drama,
274,2001.0,G,111.0,Comedy,6.3,52.0,129005.0,108248956.0,225,Comedy,Family,Romance
275,2011.0,PG,95.0,Comedy,5.4,41.0,31366.0,108085305.0,226,Animation,Adventure,Comedy
276,1992.0,PG,128.0,Comedy,7.3,67.0,94213.0,107533928.0,227,Comedy,Drama,Sport
277,2016.0,V,97.0,Comedy,6.3,43.0,80633.0,107509366.0,228,Animation,Action,Adventure
278,1999.0,R,103.0,Comedy,6.7,61.0,146005.0,106885658.0,229,Comedy,Crime,
280,2000.0,PG-13,109.0,Comedy,6.3,43.0,188634.0,106807667.0,230,Action,Comedy,Crime
282,2003.0,PG-13,116.0,Comedy,6.4,45.0,212212.0,105813373.0,231,Comedy,Romance,
283,2019.0,V,107.0,Comedy,6.6,65.0,55443.0,105806508.0,232,Animation,Action,Adventure
284,1996.0,PG,103.0,Comedy,6.4,58.0,43876.0,105489203.0,233,Comedy,,
285,1997.0,PG,92.0,Comedy,5.5,53.0,71811.0,105263257.0,234,Action,Adventure,Comedy
286,1967.0,PG,106.0,Comedy,8.0,83.0,254329.0,104945305.0,235,Comedy,Drama,Romance
287,2017.0,N-13,93.0,Comedy,5.8,40.0,56445.0,104897530.0,236,Comedy,Music,
288,2003.0,R,96.0,Comedy,6.3,43.0,194968.0,104565114.0,237,Comedy,,
289,2009.0,V,97.0,Comedy,7.1,73.0,124892.0,104400899.0,238,Animation,Adventure,Comedy
290,2003.0,PG,92.0,Comedy,5.6,39.0,63935.0,104297061.0,239,Comedy,Family,
291,2017.0,N-7,100.0,Comedy,6.0,30.0,62861.0,104029443.0,240,Comedy,,
293,2012.0,PG,97.0,Comedy,7.3,58.0,157623.0,103412758.0,241,Animation,Action,Adventure
295,2011.0,PG-13,117.0,Comedy,6.4,33.0,222217.0,103028109.0,242,Comedy,Romance,
296,1999.0,R,95.0,Comedy,7.0,58.0,377044.0,102561004.0,243,Comedy,,
297,1964.0,G,139.0,Comedy,7.8,88.0,158471.0,102272727.0,244,Comedy,Family,Fantasy
298,2013.0,N-16,92.0,Comedy,6.5,54.0,89216.0,102003019.0,245,Comedy,,
300,1994.0,PG,127.0,Comedy,7.0,62.0,101934.0,101631272.0,246,Action,Adventure,Comedy
301,2013.0,N-18,107.0,Comedy,6.6,67.0,384754.0,101470202.0,247,Comedy,,
303,2003.0,V,82.0,Comedy,4.0,19.0,52559.0,101149285.0,248,Adventure,Comedy,Family
304,2003.0,PG-13,106.0,Comedy,4.9,48.0,121187.0,100830111.0,249,Action,Adventure,Comedy
305,2010.0,R,95.0,Comedy,6.5,51.0,324305.0,100539043.0,250,Adventure,Comedy,Drama
307,1995.0,PG,104.0,Comedy,7.0,39.0,309867.0,100475249.0,251,Adventure,Comedy,Family
308,2008.0,R,98.0,Comedy,6.9,51.0,268820.0,100468793.0,252,Comedy,,
309,2007.0,V,96.0,Comedy,5.4,37.0,139521.0,100462298.0,253,Comedy,Family,Fantasy
310,1995.0,V,100.0,Comedy,6.1,49.0,122051.0,100328194.0,254,Comedy,Family,Fantasy
311,1998.0,R,123.0,Comedy,7.1,87.0,214433.0,100317794.0,255,Comedy,Drama,History
312,2011.0,R,92.0,Comedy,5.6,47.0,193551.0,100292856.0,256,Comedy,Romance,
313,2010.0,V,81.0,Comedy,4.6,35.0,20544.0,100246011.0,257,Animation,Adventure,Comedy
314,2017.0,N-16,141.0,Comedy,6.7,44.0,274234.0,100234838.0,258,Action,Adventure,Comedy
316,2019.0,PG,86.0,Comedy,5.8,46.0,28904.0,100044905.0,259,Animation,Comedy,Family
317,2008.0,N-7,113.0,Comedy,5.5,54.0,191278.0,100018837.0,260,Comedy,,
319,2018.0,PG,104.0,Comedy,7.3,60.0,69206.0,99215042.0,261,Adventure,Comedy,Drama
